review,sentiment
Amazing movie!,Positive
I loved every second of it,Positive
Brilliant acting and great plot,Positive
A masterpiece of modern cinema,Positive
Highly recommended,Positive
So much fun!,Positive
Best movie of the year,Positive
Incredible visuals,Positive
Heartwarming story,Positive
A triumphant success,Positive
Terrible movie.,Negative
Waste of time,Negative
I hated it,Negative
Boring and dull,Negative
Worst acting I have ever seen,Negative
Do not watch this,Negative
Awful plot,Negative
Completely unoriginal,Negative
A massive disappointment,Negative
I fell asleep,Negative
